day,start,end,title,category,speaker(s),venue,room,description
23.06.2023,17:40,18:20,Keynote,Newsroom automation,Gary Liu,ETH,Main,
23.06.2023,15:20,15:40,Adding Quotable Signatures to the Transparency Repertoire in Data Journalism,Newsroom automation,Marília Gehrke and Simon Erfurth,ETH,Panel,
23.06.2023,15:40,16:20,"Large-scale scraping projects
",Newsroom automation,"Leon Yin, Ilica Mahajan, Jeff Kao and Ruth Talbot",ETH,Panel,
23.06.2023,16:20,16:40,The (In-)Transparency of Data Journalism: The Role of Code Repositories in Data Storytelling,Newsroom automation,"Mathias Felipe de-Lima-Santos, Florian Stalph and Marília Gehrke",ETH,Panel,
23.06.2023,18:00,00:00,Aperitive & Rooftop Dinner at Dozentenfoyer,Newsroom automation,,ETH,,
24.06.2023,09:30,10:10,Keynote,Innovation + Responsibility,Uli Köppen,ETH,Main,
24.06.2023,10:10,10:30,“The Tech is Just the MacGuffin”: Tracking Innovation Processes in Public Service Media Using the Case of Automatically-Written Articles at WDR Sportschau,Innovation + Responsibility,Jessica Kunert and Gerret von Nordheim,ETH,Main,
24.06.2023,10:30,10:50,What comes after the algorithm? An investigation of journalists’ aims and practices when post-editing automatically generated news text,Innovation + Responsibility,Sina Thäsler-Kordonouri,ETH,Main,
24.06.2023,10:50,11:10,Design Thinking for Journalism in the AI age∗ Towards an Innovation Process for Responsible AI Applications,Innovation + Responsibility,"Roxana Portugal, Bartosz Wilczek, Maximiliam Eder, Neil Thurman and Mario Haim",ETH,Main,
24.06.2023,11:10,11:30,Coffee Break,Innovation + Responsibility,,ETH,,
24.06.2023,11:30,11:50,Futures Thinking for the Newsroom: Learning from Design to Critique and Co-create with Journalists,Innovation + Responsibility,"Bronwyn Jones, Rhianne Jones, Ewa Luger and Chris Elsden",ETH,Main,
24.06.2023,11:50,12:10,Unfolding the limitations of internal and external algorithmic transparency in newsrooms,Innovation + Responsibility,Hannes Cools and Michael Koliska,ETH,Main,
24.06.2023,12:10,12:50,Conceptualising and pursuing responsible AI in journalism,Innovation + Responsibility,"Valeria Resendez, Anna Schjøtt, Natali Helberger, Colin Porlezza, Ulrike Köppen and Rhianne Jones",ETH,Main,
24.06.2023,12:50,13:00,Closing Ceremony,,,ETH,,
